time,currentSpeed,weatherDesc,motorcycles,cars,heavyVehicles
2025-03-20 06:00:51,66,few clouds,0,0,0
2025-03-20 06:30:50,66,few clouds,1,7,1
2025-03-20 07:00:51,49,few clouds,2,8,0
2025-03-20 07:30:51,43,few clouds,5,17,0
2025-03-20 09:30:51,39,few clouds,0,10,0
2025-03-20 10:30:52,37,few clouds,0,6,0
2025-03-20 12:00:52,48,few clouds,1,12,0
2025-03-21 20:30:02,50,few clouds,0,1,0
2025-03-21 21:00:02,66,few clouds,0,5,0
2025-03-21 21:30:03,66,few clouds,0,2,0
2025-03-21 22:00:03,66,few clouds,0,0,0
2025-03-21 22:30:03,66,few clouds,0,0,0
2025-03-21 23:00:03,66,few clouds,0,0,0
2025-03-21 23:30:03,66,few clouds,0,1,0
2025-03-22 00:00:04,66,few clouds,0,0,0
2025-03-22 00:30:04,66,few clouds,0,0,0
2025-03-22 01:00:04,66,few clouds,0,1,0
2025-03-22 01:30:04,66,few clouds,0,0,0
2025-03-22 02:00:04,66,few clouds,0,0,0
2025-03-22 02:30:05,66,few clouds,0,0,0
2025-03-22 03:00:05,66,few clouds,0,0,0
2025-03-22 03:30:05,66,few clouds,0,0,0
2025-03-22 04:00:05,66,few clouds,0,0,0
2025-03-22 04:30:05,66,few clouds,0,0,0
2025-03-22 05:00:05,66,few clouds,0,0,0
2025-03-22 05:30:06,66,overcast clouds,0,1,0
2025-03-22 06:00:06,66,few clouds,0,0,0
2025-03-22 06:30:06,66,few clouds,1,10,1
2025-03-22 07:00:06,66,few clouds,0,6,0
2025-03-22 07:30:06,66,few clouds,2,6,0
2025-03-22 08:00:06,66,few clouds,0,7,0
2025-03-22 08:30:06,51,few clouds,0,9,0
2025-03-22 09:00:06,54,overcast clouds,3,10,0
2025-03-22 09:30:07,49,broken clouds,0,9,0
2025-03-22 10:00:07,48,broken clouds,2,9,0
2025-03-22 10:30:07,52,broken clouds,0,10,0
2025-03-22 11:00:07,51,broken clouds,0,3,0
2025-03-22 11:30:07,51,broken clouds,1,11,0
2025-03-22 12:00:08,50,broken clouds,0,8,0
2025-03-22 12:30:08,51,broken clouds,2,11,0
2025-03-22 13:00:08,49,broken clouds,2,8,0
2025-03-22 13:30:08,49,scattered clouds,0,10,1
2025-03-22 14:00:08,50,scattered clouds,1,9,1
2025-03-22 14:30:09,51,overcast clouds,1,2,0
2025-03-22 15:00:09,52,overcast clouds,0,7,0
2025-03-22 15:30:09,51,overcast clouds,0,10,0
2025-03-22 16:00:09,49,overcast clouds,2,9,0
2025-03-22 16:30:09,49,overcast clouds,1,9,2
2025-03-22 17:00:09,44,overcast clouds,0,10,2
2025-03-22 17:30:09,45,overcast clouds,1,21,1
2025-03-22 18:00:10,49,overcast clouds,0,12,0
2025-03-22 18:30:10,48,broken clouds,1,18,0
2025-03-22 19:00:10,49,broken clouds,0,0,0
2025-03-22 19:30:11,66,few clouds,0,5,0
2025-03-22 20:00:11,66,few clouds,0,0,0
2025-03-22 20:30:11,66,few clouds,0,1,0
2025-03-22 21:00:11,66,few clouds,0,0,0
2025-03-22 21:30:12,66,few clouds,0,0,0
2025-03-22 22:00:12,66,few clouds,0,1,0
2025-03-22 22:30:12,66,few clouds,0,1,0
2025-03-22 23:00:12,66,few clouds,0,0,0
2025-03-22 23:30:12,66,few clouds,0,0,0
2025-03-23 00:00:12,66,few clouds,0,0,0
2025-03-23 00:30:13,66,scattered clouds,0,0,0
2025-03-23 01:00:13,66,few clouds,0,0,0
2025-03-23 01:30:13,66,few clouds,0,0,0
2025-03-23 02:00:13,66,few clouds,0,0,0
2025-03-23 02:30:13,66,few clouds,0,0,0
2025-03-23 03:00:13,66,few clouds,0,0,0
2025-03-23 03:30:14,66,few clouds,0,0,0
2025-03-23 04:00:14,66,few clouds,0,0,0
2025-03-23 04:30:14,66,few clouds,0,0,0
2025-03-23 05:00:14,66,few clouds,0,0,0
2025-03-23 05:30:14,66,few clouds,0,0,0
2025-03-23 06:00:14,66,few clouds,0,0,0
2025-03-23 06:30:15,66,few clouds,0,4,0
2025-03-23 07:00:15,66,haze,0,2,1
2025-03-23 07:30:15,66,haze,0,2,0
2025-03-23 08:00:15,66,clear sky,0,2,0
2025-03-23 08:30:15,66,clear sky,2,4,0
2025-03-23 09:00:15,66,clear sky,0,4,0
2025-03-23 09:30:16,66,few clouds,1,8,0
2025-03-23 10:00:16,66,few clouds,0,11,1
2025-03-23 10:30:16,66,few clouds,0,7,0
2025-03-23 11:00:16,66,few clouds,0,11,0
2025-03-23 11:30:16,51,few clouds,0,3,0
2025-03-23 12:00:16,50,few clouds,0,3,0
2025-03-23 12:30:17,53,few clouds,0,3,0
2025-03-23 13:00:17,56,few clouds,0,8,0
2025-03-23 13:30:17,51,clear sky,3,10,0
2025-03-23 14:00:18,57,clear sky,0,9,0
2025-03-23 14:30:18,55,few clouds,2,11,1
2025-03-23 15:00:18,53,few clouds,0,4,1
2025-03-23 15:30:18,51,few clouds,0,8,0
2025-03-23 16:00:18,66,few clouds,0,15,2
2025-03-23 16:30:18,47,few clouds,1,2,0
2025-03-23 17:30:19,49,few clouds,3,11,1
2025-03-23 18:00:19,49,few clouds,0,9,0
2025-03-23 18:30:19,52,few clouds,1,10,0
2025-03-23 19:00:19,52,few clouds,0,2,0
2025-03-23 19:30:20,66,overcast clouds,0,7,0
2025-03-23 20:00:20,52,few clouds,0,0,0
2025-03-23 20:30:20,66,few clouds,0,2,0
2025-03-23 21:00:20,66,few clouds,0,2,0
2025-03-23 21:30:20,66,few clouds,0,2,0
2025-03-23 22:00:20,66,few clouds,0,0,0
2025-03-23 22:30:21,66,few clouds,0,1,0
2025-03-23 23:00:21,66,few clouds,0,0,0
2025-03-23 23:30:21,66,few clouds,0,0,0
2025-03-24 00:00:21,66,few clouds,0,1,0
2025-03-24 00:30:22,66,few clouds,0,1,0
2025-03-24 01:00:21,66,few clouds,0,0,0
2025-03-24 01:30:22,66,few clouds,0,0,0
2025-03-24 02:00:22,66,few clouds,0,0,0
2025-03-24 02:30:22,66,few clouds,0,0,0
2025-03-24 03:00:22,66,few clouds,0,0,0
2025-03-24 03:30:22,66,few clouds,0,0,0
2025-03-24 04:00:23,66,mist,0,0,0
2025-03-24 04:30:23,66,mist,0,0,0
2025-03-24 05:00:23,66,mist,0,0,0
2025-03-24 05:30:23,66,mist,0,0,0
2025-03-24 06:00:23,66,mist,0,0,0
2025-03-24 06:30:23,66,mist,0,14,0
2025-03-24 07:00:23,47,mist,1,18,0
2025-03-24 07:30:24,39,mist,1,14,0
2025-03-24 08:00:24,39,mist,9,21,0
2025-03-24 08:30:24,38,mist,7,15,0
2025-03-24 09:00:24,32,haze,11,22,1
2025-03-24 09:30:24,40,haze,3,14,0
2025-03-24 10:00:24,43,haze,0,12,0
2025-03-24 10:30:25,45,haze,2,7,0
2025-03-24 11:00:25,51,haze,1,7,2
2025-03-24 11:30:25,46,few clouds,3,5,0
2025-03-24 12:00:25,45,few clouds,3,8,0
2025-03-24 12:30:25,50,few clouds,0,1,0
2025-03-24 13:00:26,54,few clouds,3,9,1
2025-03-24 13:30:25,53,few clouds,0,9,0
2025-03-24 14:00:26,51,few clouds,4,9,0
2025-03-24 14:30:26,66,few clouds,2,9,0
2025-03-24 15:00:26,50,few clouds,0,10,0
2025-03-24 15:30:27,55,few clouds,0,6,0
2025-03-24 16:00:26,49,few clouds,2,8,0
2025-03-24 16:30:27,43,few clouds,1,24,0
2025-03-24 17:00:27,34,few clouds,2,39,0
2025-03-24 17:30:27,29,few clouds,6,32,0
2025-03-24 18:00:27,26,few clouds,2,24,1
2025-03-24 18:30:27,35,few clouds,2,29,1
2025-03-24 19:00:28,49,few clouds,0,17,0
2025-03-24 19:30:28,50,few clouds,0,0,0
2025-03-24 20:00:28,66,few clouds,0,3,0
2025-03-24 20:30:28,66,few clouds,0,7,0
2025-03-24 21:00:29,66,few clouds,0,0,0
2025-03-24 21:30:29,66,few clouds,0,0,0
2025-03-24 22:00:29,56,few clouds,0,25,0
2025-03-24 22:30:29,55,few clouds,0,16,2
2025-03-24 23:00:30,66,few clouds,0,0,0
2025-03-24 23:30:29,66,few clouds,0,0,0
2025-03-25 00:00:29,66,few clouds,0,0,0
2025-03-25 00:30:30,66,few clouds,0,0,0
2025-03-25 01:00:30,66,few clouds,0,0,0
2025-03-25 01:30:31,66,few clouds,0,0,0
2025-03-25 02:00:31,66,few clouds,0,0,0
2025-03-25 02:30:30,66,few clouds,0,0,0
2025-03-25 03:00:31,66,few clouds,0,0,0
2025-03-25 03:30:31,66,few clouds,0,0,0
2025-03-25 04:00:31,66,few clouds,0,0,0
2025-03-25 04:30:31,66,few clouds,0,0,0
2025-03-25 05:00:32,66,few clouds,0,0,0
2025-03-25 05:30:32,66,few clouds,0,0,0
2025-03-25 06:00:32,66,light rain,0,0,0
